smiles,ox
OC(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C(=O)O)C=C3)c1ccc(cc1)C(=O)O)[nH]2)c1ccc(cc1)C(=O)O,5.184178783
OC(=O)c1ccc(s1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(s1)C(=O)O)C=C3)c1ccc(s1)C(=O)O)[nH]2)c1ccc(s1)C(=O)O,5.329674873
c1csc(c1)C1c2ccc(s2)C=Cc2ccc(s2)C(c2sc(C=Cc3sc1cc3)cc2)c1cccs1,4.631380552
COc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OC)ccc(c1)c1ccccc1)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OC)ccc(c1)c1ccccc1,4.792235573
COc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1sc(cc1C)c1sc(c(c1)C)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OC)ccc(c1)c1ccccc1)c1sc(cc1C)c1sc(c(c1)C)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OC)ccc(c1)c1ccccc1,4.561739777
OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,7.350841255
OC(=O)C=CC=CC(=O)O,6.729125338
OC(=O)c1ccc(cn1)C(=O)O,7.250070828
OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,6.301846411
[Li]OC(=O)c1cc(C(=O)O[Li])c(cc1C(=O)O[Li])C(=O)O[Li],5.461886086
[Li]OC1=NC(=O)c2c3c1ccc1c3c(cc2)C(=NC1=O)O[Li],6.119568617
O=C1OC(=O)c2c3c1ccc1c3c(cc2)C(=O)OC1=O,6.952231824
[Li]OC(=O)C=CC=CC(=O)O[Li],6.023443611
[Li]OC(=O)c1ccc(cn1)C(=O)O[Li],6.418133649
[Li]OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O[Li],5.887464191
[Li]OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O[Li],5.738085959
[Li]OC(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)O[Li],5.46594619
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O,6.133923991
OC(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)O,5.778562563
CC(n1c(=O)c2ccc3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)C(C)C)C,5.536736212
COc1cc2c3c4c1c1ccc5c6c1c(c4ccc3c(=O)n(c2=O)CC)c(cc6c(=O)n(c5=O)CC)c1ccc(s1)c1cc2c(=O)n(CC)c(=O)c3c2c2c1c1ccc4c5c1c(c2cc3)c(OC)cc5c(=O)n(c4=O)CC,5.187873002
CCn1c(c2ccc(s2)c2ccc(s2)c2c(F)c(F)c(c3c2nsn3)c2ccc(s2)c2ccc(s2)c2n(CC)c(=O)c3c2c(=O)n(c3c2cccs2)CC)c2c(c1=O)c(n(c2=O)CC)c1cccs1,4.860485574
O=c1c2ccc3c4c2c(c(=O)n1c1cc2cccc5c2c2c1cccc2cc5)cc(c4c1c2c3c(Oc3ccc(cc3)C(C)(C)C)cc3c2c(cc1)c(=O)n(c3=O)c1cc2cccc3c2c2c1cccc2cc3)Oc1ccc(cc1)C(C)(C)C,5.379165335
CC(n1c(=O)c2ccc3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)C1CCCCC1n1c(=O)c2ccc3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)C(C)C)C,5.641448672
N#CC(=C(C(=C(C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1n(CC)c(=O)c2c1c(=O)n(c2c1cccs1)CC)C#N,5.200606305
CCc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc2c3ccc4c5c3c(c3c2c2c1c(=O)n(C(C)C)c(=O)c2cc3)ccc5c(=O)n(c4=O)C(C)C)c1ccc(s1)CC)c1cc2c3ccc4c5c3c(c3c2c2c1c(=O)n(C(C)C)c(=O)c2cc3)ccc5c(=O)n(c4=O)C(C)C,5.164193098
CC(n1c(=O)c2cc(c3cc4c(=O)n(C(C)C)c(=O)c5c4c4c3c3ccc6c7c3c3c4c(c5)[se]c3cc7c(=O)n(c6=O)C(C)C)c3c4c2c(c1=O)cc1c4c2c([se]1)cc1c4c2c3ccc4c(=O)n(c1=O)C(C)C)C,5.576531524
CCn1c(=O)c2ccc(c3c2c(c1=O)ccc3)C#CC#Cc1ccc2c3c1cccc3c(=O)n(c2=O)CC,5.813030699
CCN1C(=O)c2c(C1=O)cc(cc2)C#Cc1ccc(s1)c1n(CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)C#Cc1ccc2c(c1)C(=O)N(C2=O)CC)CC,4.969085727
CC(n1c(=O)c2cc(c3ccccc3)c3c4c2c(c1=O)cc(c4c1c2c3c(cc3c2c(cc1c1ccccc1)c(=O)n(c3=O)C(C)C)c1ccccc1)c1ccccc1)C,5.297120515
CCN1C(=O)c2c(C1=O)cc(cc2)C=Cc1ccc(c2c1nsn2)C=Cc1ccc2c(c1)C(=O)N(C2=O)CC,5.3663738
N#CC(=Cc1ccc(c2c1nsn2)c1ccc2c(c1)n(C(C)C)c1c2ccc(c1)c1ccc(c2c1nsn2)C=C(C#N)C#N)C#N,5.558437847
CCc1ccc(cc1)C1(c2ccc(cc2)CC)c2cc(sc2c2c1cc1c3sc(cc3C(c1c2)(c1ccc(cc1)CC)c1ccc(cc1)CC)C=C1C(=O)c2c(C1=C(C#N)C#N)cccc2)CC1=C(C(C#N)C#N)c2c(C1=O)cccc2,5.339227163
CCOc1c(ccc2c1ccc(c2OCC)C=C(c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CC)C#N)C=C(c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CC)C#N,5.34075726
CCN1C(=O)C(=Cc2ccc(s2)c2ccc3c(c2)C(CC)(CC)c2c3ccc(c2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)C(=O)N(C1=S)CC,5.349996891
CC(n1c(=O)c2cc3c4oc5c(c4c4c6c3c3c2c(c1=O)ccc3c1c6c2c(c4)c(=O)n(c(=O)c2cc1)C(C)C)c1cc2c3c4c1c1c5cc5c6c1c(c4ccc3c(=O)n(c2=O)C(C)C)ccc6c(=O)n(c5=O)C(C)C)C,5.675564149
CCC1(CC)c2cc3c4sc(cc4C(c3cc2c2c1cc(s2)c1ccc(c2c1nsn2)C=c1sc(=S)n(c1=C)CC)(CC)CC)c1ccc(c2c1nsn2)C=c1sc(=S)n(c1=C)CC,4.764626342
N#CC(=C1c2ccccc2C(=O)C1=Cc1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)c1ccc(s1)C=C1C(=O)c2c(C1=C(C#N)C#N)cccc2)C#N,5.314355399
